Title,Count
"National Natural Science Foundation of China","65945"
"National Science Foundation","17613"
"Fundamental Research Funds for the Central Universities","10374"
"National Key Research and Development Program of China","9764"
"Japan Society for the Promotion of Science","8137"
"Horizon 2020 Framework Programme","6853"
"European Commission","4862"
"Engineering and Physical Sciences Research Council","4362"
"National Research Foundation of Korea","4273"
"European Regional Development Fund","4145"
"China Postdoctoral Science Foundation","3779"
"Natural Sciences and Engineering Research Council of Canada","3641"
"Conselho Nacional de Desenvolvimento Científico e Tecnológico","3395"
"Deutsche Forschungsgemeinschaft","3388"
"Seventh Framework Programme","3246"
"Office of Naval Research","2875"
"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","2790"
"National Institutes of Health","2673"
"National Basic Research Program of China (973 Program)","2592"
"Australian Research Council","2563"
"Ministry of Education of the People's Republic of China","2563"
"Ministry of Science and Technology, Taiwan","2515"
"Natural Science Foundation of Jiangsu Province","2458"
"European Research Council","2330"
"Ministry of Science, ICT and Future Planning","2301"
"Defense Advanced Research Projects Agency","2267"
"Ministerio de Economía y Competitividad","2091"
"China Scholarship Council","2017"
"Fundação para a Ciência e a Tecnologia","1840"
"Horizon 2020","1706"
"Natural Science Foundation of Guangdong Province","1706"
"Institute for Information and Communications Technology Promotion","1657"
"Natural Science Foundation of Beijing Municipality","1618"
"Bundesministerium für Bildung und Forschung","1603"
"Ministry of Science and ICT, South Korea","1559"
"Ministry of Education","1531"
"Russian Foundation for Basic Research","1513"
"Natural Science Foundation of Shandong Province","1453"
"Chinese Academy of Sciences","1383"
"U.S. Department of Energy","1376"
"Air Force Office of Scientific Research","1313"
"Natural Science Foundation of Zhejiang Province","1288"
"Army Research Office","1257"
"Consejo Nacional de Ciencia y Tecnología","1240"
"Fundação de Amparo à Pesquisa do Estado de São Paulo","1184"
"Ministry of Trade, Industry and Energy","1149"
"Ministerio de Ciencia e Innovación","1100"
"Ministry of Education, Culture, Sports, Science and Technology","1060"
"Directorate for Computer and Information Science and Engineering","1054"
"Agence Nationale de la Recherche","1048"
"Nvidia","1036"
"Department of Science and Technology, Ministry of Science and Technology, India","1014"
"Ministry of Higher Education, Malaysia","966"
"European Social Fund","964"
"Science and Technology Commission of Shanghai Municipality","920"
"Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","884"
"Specialized Research Fund for the Doctoral Program of Higher Education of China","871"
"Japan Science and Technology Agency","854"
"Higher Education Discipline Innovation Project","837"
"National Aeronautics and Space Administration","832"
"Grantová Agentura České Republiky","826"
"National High-tech Research and Development Program","789"
"Science and Technology Planning Project of Guangdong Province","788"
"Program for New Century Excellent Talents in University","786"
"Russian Science Foundation","773"
"Natural Science Foundation of Anhui Province","750"
"Ministero dell’Istruzione, dell’Università e della Ricerca","739"
"Natural Science Foundation of Fujian Province","734"
"Natural Science Foundation of Shaanxi Province","727"
"Ministry of Education, Science and Technology","721"
"National Science Council","721"
"National Research Foundation Singapore","714"
"Google","693"
"Nederlandse Organisatie voor Wetenschappelijk Onderzoek","688"
"National Office for Philosophy and Social Sciences","667"
"Army Research Laboratory","666"
"Ministry of Science and Technology of the People's Republic of China","659"
"Research Grants Council, University Grants Committee","657"
"Natural Science Foundation of Hubei Province","623"
"Natural Science Foundation of Hebei Province","622"
"Science Foundation Ireland","620"
"Natural Science Foundation of Liaoning Province","612"
"Austrian Science Fund","599"
"Narodowe Centrum Nauki","599"
"Israel Science Foundation","583"
"Academy of Finland","576"
"Ministry of Education and Science of the Russian Federation","569"
"Türkiye Bilimsel ve Teknolojik Araştirma Kurumu","569"
"Science and Engineering Research Board","566"
"Natural Science Foundation of Shanghai","564"
"Natural Science Foundation of Tianjin City","559"
"Fundação de Amparo à Pesquisa do Estado de Minas Gerais","556"
"Sichuan Province Science and Technology Support Program","553"
"Air Force Research Laboratory","551"
"Qatar National Research Fund","530"
"Ministerio de Ciencia y Tecnología","520"
"Ministry of Education - Singapore","516"
"U.S. Department of Defense","510"
"Agencia Estatal de Investigación","505"
"State Grid Corporation of China","493"
"Priority Academic Program Development of Jiangsu Higher Education Institutions","492"
"Key Technology Research and Development Program of Shandong","484"
"National Research Foundation","478"
"Royal Society","465"
"Core Research for Evolutional Science and Technology","463"
"Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii","454"
"National Science Fund for Distinguished Young Scholars","452"
"Science, Technology and Innovation Commission of Shenzhen Municipality","451"
"Natural Science Foundation of Guangxi Province","449"
"Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja","448"
"National Major Science and Technology Projects of China","445"
"Ministerio de Educación, Cultura y Deporte","437"
"Vedecká Grantová Agentúra MŠVVaŠ SR a SAV","433"
"Ministerio de Ciencia, Innovación y Universidades","429"
"Norges Forskningsråd","429"
"Chongqing Municipal Education Commission","428"
"Fonds Wetenschappelijk Onderzoek","427"
"National Sleep Foundation","423"
"Vetenskapsrådet","423"
"Natural Science Foundation of Hunan Province","419"
"Alexander von Humboldt-Stiftung","418"
"Intel Corporation","415"
"Natural Science Research of Jiangsu Higher Education Institutions of China","414"
"Ministerstvo Školství, Mládeže a Tělovýchovy","410"
"Hong Kong Polytechnic University","407"
"Universitas Indonesia","404"
"Economic and Social Research Council","390"
"Special Project for Research and Development in Key areas of Guangdong Province","381"
"Generalitat de Catalunya","378"
"Youth Innovation Promotion Association of the Chinese Academy of Sciences","378"
"Federación Española de Enfermedades Raras","377"
"Ministry of Electronics and Information technology","377"
"New Energy and Industrial Technology Development Organization","377"
"Natural Science Foundation of Heilongjiang Province","376"
"International Business Machines Corporation","366"
"Aeronautical Science Foundation of China","365"
"Universiti Teknologi Malaysia","361"
"Guangzhou Science and Technology Program key projects","360"
"Six Talent Peaks Project in Jiangsu Province","360"
"Javna Agencija za Raziskovalno Dejavnost RS","355"
"H2020 Marie Skłodowska-Curie Actions","350"
"Beijing Municipal Natural Science Foundation","346"
"Fondo Nacional de Desarrollo Científico y Tecnológico","339"
"Beijing Municipal Science and Technology Commission","338"
"Office of Science","337"
"Natural Science Foundation of Chongqing","335"
"Bundesministerium für Wirtschaft und Energie","330"
"Nanyang Technological University","330"
"Programa Operacional Temático Factores de Competitividade","329"
"Deutscher Akademischer Austauschdienst","327"
"Qatar Foundation","325"
"Natural Science Foundation of Jiangxi Province","318"
"Shanghai Municipal Education Commission","316"
"Tsinghua University","300"
"Canada Research Chairs","298"
"Centre National de la Recherche Scientifique","295"
"Guangzhou Municipal Science and Technology Project","295"
"Science and Technology Major Project of Guangxi","293"
"Agentúra na Podporu Výskumu a Vývoja","292"
