Title,Count
"Chinese Academy of Sciences","9951"
"Ministry of Education China","7048"
"CNRS Centre National de la Recherche Scientifique","4993"
"Tsinghua University","4854"
"Harbin Institute of Technology","4610"
"University of Chinese Academy of Sciences","4239"
"Beijing Institute of Technology","3840"
"Beihang University","3767"
"Shanghai Jiao Tong University","3702"
"Nanyang Technological University","3645"
"Carnegie Mellon University","3489"
"University of Electronic Science and Technology of China","3413"
"Zhejiang University","3328"
"Southeast University","3311"
"National University of Defense Technology China","3288"
"Northeastern University","2890"
"Northwestern Polytechnical University","2852"
"Beijing University of Posts and Telecommunications","2812"
"Huazhong University of Science and Technology","2782"
"Xi'an Jiaotong University","2704"
"Massachusetts Institute of Technology","2688"
"Xidian University","2655"
"South China University of Technology","2528"
"National University of Singapore","2454"
"The University of Tokyo","2438"
"Peking University","2415"
"Institute of Automation Chinese Academy of Sciences","2351"
"University of Science and Technology of China","2307"
"University of Technology Sydney","2245"
"Georgia Institute of Technology","2223"
"Technical University of Munich","2219"
"Nanjing University of Science and Technology","2177"
"Beijing Jiaotong University","2143"
"Dalian University of Technology","2035"
"Stanford University","1976"
"Sun Yat-Sen University","1971"
"Tianjin University","1964"
"Tongji University","1928"
"ETH Zürich","1918"
"Nanjing University of Aeronautics and Astronautics","1916"
"University of California, Berkeley","1859"
"Imperial College London","1828"
"University of Southern California","1820"
"Wuhan University","1813"
"Wuhan University of Technology","1798"
"Shandong University","1786"
"Shanghai University","1763"
"Delft University of Technology","1705"
"Chongqing University","1704"
"University of Oxford","1700"
"Nanjing University","1694"
"City University of Hong Kong","1686"
"Amity University","1686"
"Universidade de São Paulo","1666"
"Beijing University of Technology","1635"
"Osaka University","1632"
"Chinese University of Hong Kong","1623"
"University Politehnica of Bucharest","1607"
"Central South University","1593"
"Hong Kong Polytechnic University","1564"
"Korea Advanced Institute of Science and Technology","1556"
"Sichuan University","1547"
"Nanjing University of Post and TeleCommunications","1529"
"University of Alberta","1505"
"UNSW Sydney","1437"
"College of Information Science and Engineering, Northeastern University","1435"
"Waseda University","1431"
"KU Leuven","1420"
"Shenzhen University","1417"
"INRIA Institut National de Recherche en Informatique et en Automatique","1410"
"University of Toronto","1409"
"University of Illinois Urbana-Champaign","1377"
"King Abdulaziz University","1367"
"Politecnico di Milano","1361"
"University College London","1351"
"Istituto Italiano di Tecnologia","1333"
"University of Waterloo","1319"
"The University of Sydney","1319"
"Guangdong University of Technology","1310"
"Hefei University of Technology","1307"
"Sorbonne Université","1293"
"Universidad de Granada","1282"
"Consiglio Nazionale delle Ricerche","1280"
"Harbin Engineering University","1279"
"Southwest Jiaotong University","1276"
"University of Tehran","1263"
"Xiamen University","1250"
"University of Science and Technology Beijing","1239"
"University of Michigan, Ann Arbor","1239"
"Universitas Indonesia","1226"
"Sapienza Università di Roma","1222"
"Jilin University","1220"
"University of California, San Diego","1219"
"Seoul National University","1212"
"School of Computer Science and Engineering","1210"
"The University of Edinburgh","1199"
"Chongqing University of Posts and Telecommunications","1191"
"Ecole Polytechnique Fédérale de Lausanne","1182"
"Amirkabir University of Technology","1168"
"Hunan University","1168"
"Tokyo Institute of Technology","1165"
"The University of Texas at Austin","1155"
"Technical University of Cluj-Napoca","1150"
"Arizona State University","1141"
"Czech Technical University in Prague","1138"
"University of Pennsylvania","1135"
"Bina Nusantara University","1134"
"Vellore Institute of Technology","1132"
"Institut Teknologi Sepuluh Nopember","1127"
"Universidade de Lisboa","1124"
"Fudan University","1123"
"Institut Teknologi Bandung","1123"
"Universidade do Porto","1108"
"Shenzhen Institute of Advanced Technology","1101"
"Universiti Teknologi Malaysia","1084"
"Dalian Maritime University","1082"
"Universitat Politècnica de Catalunya","1077"
"University of Cambridge","1077"
"Purdue University","1074"
"Technische Universität Wien","1062"
"Microsoft Research","1047"
"Nagoya University","1045"
"University of California, Los Angeles","1033"
"Deakin University","1020"
"Université Paris-Saclay","1012"
"Kyoto University","1007"
"Texas A&M University","1006"
"National Taiwan University","1003"
"University of Macau","999"
"Shenyang Institute of Automation Chinese Academy of Sciences","997"
"The Royal Institute of Technology KTH","996"
"Korea University","996"
"The University of Manchester","991"
"Islamic Azad University","989"
"Fuzhou University","987"
"Harvard University","979"
"University of Maryland, College Park","979"
"University of Melbourne","979"
"Google LLC","978"
"University of Washington","976"
"National Taiwan University of Science and Technology","972"
"Instituto Superior Técnico","969"
"Hangzhou Dianzi University","967"
"Obuda University","966"
"Delhi Technological University","965"
"Anna University","963"
"Jadavpur University","959"
"The University of Hong Kong","958"
"National Chiao Tung University","954"
"Soochow University","951"
"Monash University","948"
"Shandong University of Science and Technology","944"
"Università degli Studi di Napoli Federico II","939"
"State Grid Corporation of China","934"
"Universiteit Gent","931"
"National Cheng Kung University","919"
"Yonsei University","918"
"Nanjing University of Information Science & Technology","918"
"Johns Hopkins University","913"
"Politechnika Warszawska","912"
