Title,Count
"Neurocomputing","11980"
"Studies In Computational Intelligence","10564"
"Proceedings IEEE International Conference On Robotics And Automation","9484"
"Expert Systems With Applications","8507"
"Information Sciences","7755"
"Journal Of Intelligent And Fuzzy Systems","7454"
"Proceedings Of The International Joint Conference On Neural Networks","7331"
"Frontiers In Artificial Intelligence And Applications","5821"
"Neural Computing And Applications","5634"
"Knowledge Based Systems","4382"
"Pattern Recognition","3731"
"IEICE Transactions On Information And Systems","3663"
"IEEE Robotics And Automation Letters","3597"
"IEEE Transactions On Neural Networks And Learning Systems","3591"
"Kongzhi Yu Juece Control And Decision","3481"
"Pattern Recognition Letters","3206"
"Journal Of Machine Learning Research","2760"
"IEEE International Conference On Fuzzy Systems","2597"
"Civil Comp Proceedings","2529"
"International Journal Of Advanced Robotic Systems","2491"
"Engineering Applications Of Artificial Intelligence","2352"
"IEEE Transactions On Pattern Analysis And Machine Intelligence","2241"
"Neural Networks","2094"
"Applied Intelligence","2058"
"Fuzzy Sets And Systems","2045"
"IEEE Transactions On Fuzzy Systems","1921"
"Microprocessors And Microsystems","1896"
"Journal Of Intelligent And Robotic Systems Theory And Applications","1830"
"Journal Of Pragmatics","1665"
"Digital Signal Processing A Review Journal","1656"
"Proceedings Of The National Conference On Artificial Intelligence","1551"
"Journal Of Computer Science","1543"
"Journal Of Parallel And Distributed Computing","1534"
"International Journal Of Pattern Recognition And Artificial Intelligence","1416"
"Journal Of Intelligent Manufacturing","1390"
"Neural Processing Letters","1378"
"International Journal Of Machine Learning And Cybernetics","1324"
"Biosystems And Biorobotics","1302"
"Moshi Shibie Yu Rengong Zhineng Pattern Recognition And Artificial Intelligence","1270"
"International Journal Of Approximate Reasoning","1259"
"Knowledge And Information Systems","1241"
"Studies In Big Data","1230"
"International Journal Of Fuzzy Systems","1220"
"International Journal Of Engineering Research And Technology","1211"
"Bulletin Of The Polish Academy Of Sciences Technical Sciences","1192"
"Journal Of Advanced Computational Intelligence And Intelligent Informatics","1155"
"Springer Tracts In Advanced Robotics","1114"
"International Journal Of Computer Vision","1059"
"Physics Of Life Reviews","1033"
"Perception","1032"
"Understanding Complex Systems","1027"
"Cognitive Science","1021"
"International Journal Of Intelligent Systems","1003"
"Lecture Notes In Computational Vision And Biomechanics","969"
"Intelligent Automation And Soft Computing","959"
"Advanced Engineering Informatics","951"
"Jiqiren Robot","927"
"Constructivist Foundations","907"
"International Journal Of Robotics Research","904"
"Journal Of Software","864"
"SN Computer Science","854"
"IEEE Caa Journal Of Automatica Sinica","835"
"Artificial Intelligence In Medicine","832"
"AI And Society","802"
"Pattern Analysis And Applications","796"
"Journal Of Geo Information Science","792"
"Machine Learning","785"
"Artificial Intelligence Review","775"
"International Journal Of Mechanical Engineering And Robotics Research","773"
"Expert Systems","764"
"Artificial Intelligence","762"
"Intelligent Data Analysis","757"
"Frontiers In Robotics And AI","751"
"Autonomous Robots","750"
"Journal Of Consciousness Studies","742"
"Artificial Life And Robotics","725"
"International Conference Recent Advances In Natural Language Processing Ranlp","718"
"International Journal Of Software Engineering And Knowledge Engineering","715"
"ACM Transactions On Intelligent Systems And Technology","701"
"International Journal Of Information Management","700"
"Journal Of Artificial Intelligence Research","689"
"Journal Of Memory And Language","688"
"Information And Control","687"
"International Journal Of Information Technology Singapore","678"
"Frontiers In Neurorobotics","663"
"I Perception","660"
"IEEE Transactions On Human Machine Systems","653"
"Multidimensional Systems And Signal Processing","648"
"IEEE Intelligent Systems","646"
"International Journal Of Bio Science And Bio Technology","636"
"Cognitive Systems Research","631"
"International Journal Of Uncertainty Fuzziness And Knowlege Based Systems","628"
"Kybernetika","627"
"Cognitive Processing","622"
"Iranian Journal Of Fuzzy Systems","622"
"Parallel Computing","608"
"International Journal On Artificial Intelligence Tools","580"
"Topics In Cognitive Science","580"
"Applied Artificial Intelligence","564"
"Informatica Slovenia","560"
"Systems Science And Control Engineering","553"
